2022-07-23 11:24:38,868 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-23 11:25:23,329 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-07-23 11:25:23,330 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-23 11:25:23,330 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-23 11:25:24,573 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-07-23 11:25:24,573 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-23 11:25:24,574 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-23 11:25:35,903 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-07-23 11:25:35,903 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-23 11:25:35,903 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-23 11:25:37,022 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-07-23 11:25:37,241 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2022-07-23 11:25:37,318 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2022-07-23 11:25:37,993 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['firefox']
2022-07-23 11:25:37,998 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-23 11:28:47,440 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-07-23 11:28:47,440 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-07-23 11:28:47,441 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-07-23 11:28:47,819 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-07-23 11:28:48,226 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-07-23 11:28:48,636 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Krusader (/usr/share/applications/org.kde.krusader.desktop) Exec ['krusader', '-qwindowtitle']
2022-07-23 11:28:48,642 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
